,vulnerable,infected,symptomatic,positive,recovered,deceased
195,0.49690125,0.00013,0.00017875,0.00020625,0.49346375,0.00912
212,0.49688,0.00013,0.00016125,0.00019375,0.49351375,0.00912125
206,0.496865,0.0001225,0.000145,0.00018625,0.49356,0.00912125
204,0.49685,0.0001125,0.00013125,0.000175,0.49360875,0.0091225
210,0.4968325,0.00011625,0.0001325,0.00016875,0.4936275,0.0091225
214,0.49682125,0.0001025,0.00013375,0.00015625,0.49366375,0.0091225
211,0.49680125,0.0001,0.0001375,0.00014,0.49369875,0.0091225
203,0.49678625,9.625e-05,0.00013375,0.00013625,0.49372375,0.00912375
209,0.49676,0.00010625,0.00012625,0.00013375,0.49375,0.00912375
200,0.49674125,0.0001025,0.00012875,0.0001325,0.49377125,0.00912375
207,0.49672375,0.00010625,0.0001275,0.00013,0.4937875,0.009125
201,0.49670625,9.875e-05,0.0001225,0.0001325,0.493815,0.009125
205,0.49669875,8.375e-05,0.0001125,0.000125,0.49385375,0.00912625
202,0.49667625,9e-05,0.000105,0.00011875,0.49388375,0.00912625
208,0.49666375,8.5e-05,9.875e-05,0.00012,0.49390625,0.00912625
213,0.496655,7.75e-05,9.75e-05,0.00011,0.4939325,0.0091275
223,0.49664375,6.75e-05,0.0001,0.00010875,0.4939525,0.0091275
217,0.4966325,6.125e-05,0.000105,0.00010125,0.49397125,0.00912875
225,0.49661625,6.75e-05,0.0001025,0.0001025,0.4939825,0.00912875
224,0.4966025,7.25e-05,9.125e-05,0.00010125,0.49400375,0.00912875
219,0.49658625,6.375e-05,9.75e-05,0.00010125,0.49402125,0.00913
215,0.4965725,6.875e-05,9e-05,0.00010375,0.494035,0.00913
229,0.49655875,6.75e-05,9.375e-05,9.625e-05,0.4940525,0.00913125
230,0.49654875,6e-05,9.75e-05,9.125e-05,0.49407125,0.00913125
228,0.49653875,5.75e-05,9.875e-05,8.25e-05,0.49409125,0.00913125
226,0.4965325,5.125e-05,9.125e-05,8.875e-05,0.494105,0.00913125
231,0.49652,5.125e-05,8.625e-05,8.625e-05,0.494125,0.00913125
221,0.49650875,5.5e-05,8.125e-05,8.5e-05,0.49413625,0.00913375
218,0.49650625,4.375e-05,7.375e-05,8.625e-05,0.49415625,0.00913375
222,0.4965,3.75e-05,7.375e-05,8.375e-05,0.49417125,0.00913375
227,0.49649375,3.75e-05,7.125e-05,7.625e-05,0.4941875,0.00913375
216,0.49648625,3.5e-05,6.75e-05,7.375e-05,0.49420375,0.00913375
220,0.49648125,3.375e-05,6.375e-05,7.625e-05,0.49421125,0.00913375
237,0.4964775,3.25e-05,6.25e-05,7e-05,0.4942225,0.009135
243,0.49647375,2.875e-05,5.75e-05,7e-05,0.49423375,0.00913625
241,0.49646875,2.5e-05,5.875e-05,6.625e-05,0.494245,0.00913625
245,0.49646,3e-05,5.5e-05,6.5e-05,0.49425375,0.00913625
242,0.496455,2.75e-05,5.25e-05,5.875e-05,0.49427,0.00913625
239,0.49645,2.5e-05,5.25e-05,6e-05,0.49427625,0.00913625
235,0.496445,2.625e-05,5.25e-05,6e-05,0.49428,0.00913625
236,0.49644,2.625e-05,4.875e-05,5.875e-05,0.49429,0.00913625
240,0.49643875,2.125e-05,4.5e-05,5.625e-05,0.4943025,0.00913625
232,0.4964375,1.875e-05,4.625e-05,5.25e-05,0.49430875,0.00913625
238,0.4964275,2.625e-05,4.125e-05,4.75e-05,0.49432125,0.00913625
246,0.496425,2.5e-05,4e-05,4.75e-05,0.49432625,0.00913625
233,0.4964225,2.5e-05,3.75e-05,4.25e-05,0.49433625,0.00913625
244,0.49642,2.5e-05,3.75e-05,3.75e-05,0.49434375,0.00913625
234,0.496415,2.5e-05,3.625e-05,3.75e-05,0.49435,0.00913625
254,0.49641125,2.625e-05,3e-05,3.875e-05,0.4943575,0.00913625
263,0.4964075,2.5e-05,2.875e-05,3.75e-05,0.494365,0.00913625
248,0.4964075,2.25e-05,2.75e-05,3.875e-05,0.4943675,0.00913625
